year,round,date,constructorId,driverId,time,milliseconds,status,estPosition,estPoints,win,score
1989,12,1989-09-10,tyrrell,alesi,\N,,+1 lap,5,10,1.0,1602.6148867818931
1989,12,1989-09-10,mclaren,senna,\N,,engine,13,0,0.0,1745.0051287554325
1989,13,1989-09-24,ferrari,berger,1:36:48.546,5808546.0,finished,1,25,1.0,1636.3593204251613
1989,13,1989-09-24,mclaren,prost,+32.637,5841183.0,finished,2,18,1.0,1736.3139251158082
1989,13,1989-09-24,mclaren,senna,\N,,collision,17,0,0.0,1727.1372893420346
1989,14,1989-10-01,mclaren,senna,1:47:48.264,6468264.0,finished,1,25,1.0,1746.2005227780032
1989,14,1989-10-01,ferrari,berger,+27.051,6495315.0,finished,2,18,1.0,
1989,14,1989-10-01,mclaren,prost,+53.788,6522052.0,finished,3,15,0.0,1721.2506916798395
1989,14,1989-10-01,tyrrell,alesi,\N,,+1 lap,4,12,1.0,1624.391991196021
1989,15,1989-10-22,mclaren,senna,\N,,disqualified,11,0,1.0,1762.6732110353796
1989,15,1989-10-22,mclaren,prost,\N,,collision,12,0,0.0,1708.7780034224631
1989,15,1989-10-22,tyrrell,alesi,\N,,gearbox,16,0,1.0,1642.0600376349103
1989,15,1989-10-22,ferrari,berger,\N,,gearbox,18,0,0.0,1624.2689050857828
1989,16,1989-11-05,mclaren,senna,\N,,collision,15,0,1.0,1777.4103184420164
1989,16,1989-11-05,ferrari,berger,\N,,collision,22,0,0.0,1613.8560214917238
1989,16,1989-11-05,tyrrell,alesi,\N,,electrical,23,0,1.0,1657.8187639195032
1989,16,1989-11-05,mclaren,prost,\N,,withdrew,25,0,0.0,1698.0408960158263
1990,1,1990-03-11,mclaren,senna,1:52:32.829,6752829.0,finished,1,25,1.0,1788.507265964764
1990,1,1990-03-11,tyrrell,alesi,+8.685,6761514.0,finished,2,18,1.0,1669.629872775274
1990,1,1990-03-11,mclaren,berger,\N,,clutch,18,0,0.0,1606.7590739689763
1990,1,1990-03-11,ferrari,prost,\N,,oil leak,22,0,0.0,1684.0452088598206
1990,2,1990-03-25,ferrari,prost,1:37:21.258,5841258.0,finished,1,25,1.0,1704.7066926268851
1990,2,1990-03-25,mclaren,berger,+13.564,5854822.0,finished,2,18,1.0,1634.585190360945
1990,2,1990-03-25,mclaren,senna,+37.722,5878980.0,finished,3,15,0.0,1764.6811495727952
1990,2,1990-03-25,tyrrell,alesi,\N,,+1 lap,7,6,1.0,1680.1274739851688
1990,3,1990-05-13,mclaren,berger,+5.117,5460595.0,finished,2,18,1.0,1661.9697714814988
1990,3,1990-05-13,ferrari,prost,+6.843,5462321.0,finished,4,12,1.0,1724.3836774438541
1990,3,1990-05-13,tyrrell,alesi,\N,,+1 lap,6,8,1.0,1691.4617609285983
1990,3,1990-05-13,mclaren,senna,\N,,wheel,22,0,0.0,1741.2965684522414
1990,4,1990-05-27,mclaren,senna,1:52:46.982,6766982.0,finished,1,25,1.0,1755.0708174076747
1990,4,1990-05-27,tyrrell,alesi,+1.087,6768069.0,finished,2,18,1.0,1702.0175458921706
